代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
9919,康那香,14.0,0.05,0.36,09/22,27,1262,28.0,0.65,0,0,0.0,0.0,0,0,0.0,0.0,27,1307,29.0,0.67
00898,國泰基因免疫革命,11.5,0.05,0.44,09/22,16,5752,41.2,5.3,0,0,0.0,0.0,1,16,1.83,0.01,14,7817,61.6,7.21
2412,中華電,145.0,0.5,0.35,09/22,16,89906,45.3,1.16,2,359,2.48,0.0,6,721,0.8,0.01,16,88726,44.7,1.14
3666,光耀,25.15,0.05,0.2,09/22,12,37,6.77,0.03,0,0,0.0,0.0,2,0,0.24,0.0,10,30,9.71,0.02
2380,虹光,16.5,0.0,0.0,09/22,11,171,10.9,0.28,0,0,0.0,0.0,0,0,0.0,0.0,11,175,11.2,0.29
2820,華票,17.3,-0.2,-1.14,09/22,11,17137,47.6,1.28,0,0,0.0,0.0,9,355,1.12,0.03,11,17327,48.2,1.29
2883B,凱基金乙特,8.47,-0.06,-0.7,09/22,11,7040,28.6,0.44,0,0,0.0,0.0,0,0,0.0,0.0,9,4714,21.4,0.3
6526,達發,764.0,40.0,5.52,09/22,11,3613,27.4,2.16,-1,-43,-0.87,-0.03,-1,-10,-0.21,-0.01,4,3474,31.6,2.07
8227,巨有科技,305.0,17.5,6.09,09/22,11,3754,6.84,9.49,0,0,0.0,0.0,3,111,2.53,0.28,12,3986,7.18,10.1
8464,億豐,375.0,5.0,1.35,09/22,11,843,17.3,0.29,0,0,0.0,0.0,4,24,0.87,0.01,4,183,6.68,0.06
2480,敦陽科,162.5,-2.0,-1.22,09/22,10,998,32.2,0.94,0,0,0.0,0.0,-1,0,-0.12,0.0,10,1017,32.8,0.96
3014,聯陽,139.0,-0.5,-0.36,09/22,10,3790,26.6,2.28,14,382,2.14,0.23,-1,-20,-0.54,-0.01,10,4115,28.9,2.48
3257,虹冠電,48.95,-0.2,-0.41,09/22,10,331,18.4,0.41,0,0,0.0,0.0,0,0,0.0,0.0,10,335,18.6,0.42
3272,東碩,14.05,0.05,0.36,09/22,10,32,12.3,0.05,0,0,0.0,0.0,0,0,0.0,0.0,10,32,12.2,0.05
3317,尼克森,60.5,4.3,7.65,09/22,10,758,13.7,0.84,0,0,0.0,0.0,1,13,0.82,0.01,8,534,12.1,0.59
3558,神準,124.0,0.0,0.0,09/22,10,269,38.4,0.46,0,0,0.0,0.0,-5,-2,-0.37,0.0,10,267,38.2,0.45
3577,泓格,115.5,-1.5,-1.28,09/22,10,543,19.7,0.85,0,0,0.0,0.0,-1,-3,-1.33,0.0,10,547,19.8,0.86
5225,東科-KY,55.9,0.2,0.36,09/22,10,657,33.2,0.83,0,0,0.0,0.0,-1,-1,-0.59,0.0,10,660,33.3,0.83
5481,新華,22.05,0.15,0.68,09/22,10,332,14.0,0.47,0,0,0.0,0.0,0,0,0.0,0.0,10,332,14.0,0.47
6122,擎邦,52.9,1.2,2.32,09/22,10,557,15.6,0.71,6,77,3.07,0.1,1,0,0.05,0.0,10,650,18.2,0.83
8050,廣積,59.3,0.2,0.34,09/22,10,2721,26.2,1.33,0,0,0.0,0.0,2,20,1.1,0.01,10,2743,26.4,1.34
3169,亞信,107.0,2.0,1.9,09/22,9,271,24.1,0.43,0,0,0.0,0.0,1,3,0.78,0.0,9,267,23.7,0.42
6776,展碁國際,52.4,-0.1,-0.19,09/22,9,125,16.5,0.14,0,0,0.0,0.0,0,0,0.0,0.0,9,133,17.5,0.15
0061,元大寶滬深,24.27,0.14,0.58,09/22,8,391,64.9,0.41,0,0,0.0,0.0,-8,-168,-27.8,-0.17,10,338,43.2,0.35
1325,恆大,25.85,0.3,1.17,09/22,8,304,26.6,0.36,0,0,0.0,0.0,0,0,0.0,0.0,8,307,26.9,0.36
1463,強盛新,17.65,0.05,0.28,09/22,8,424,41.2,0.24,0,0,0.0,0.0,-1,-1,-0.7,0.0,8,426,41.4,0.25
2377,微星,153.5,0.5,0.33,09/22,8,8631,17.2,1.02,-1,-20,-0.41,0.0,-1,-21,-0.44,0.0,5,6121,19.9,0.72
3338,泰碩,66.8,-1.1,-1.62,09/22,8,490,17.1,0.56,0,0,0.0,0.0,4,19,0.99,0.02,8,500,17.4,0.57
6168,宏齊,44.0,1.3,3.04,09/22,8,25306,14.7,12.3,0,0,0.0,0.0,2,56,0.07,0.03,8,25537,14.8,12.4
7839,達人網,43.3,0.0,0.0,09/22,8,49,59.2,0.32,0,0,0.0,0.0,-6,-28,-45.4,-0.19,3,8,28.0,0.05
1702,南僑,33.25,0.0,0.0,09/22,7,378,35.7,0.13,0,0,0.0,0.0,0,0,0.0,0.0,7,404,38.1,0.14
2417,圓剛,39.0,-0.3,-0.76,09/22,7,276,13.5,0.18,0,0,0.0,0.0,0,0,0.0,0.0,7,282,13.8,0.18
2887H,台新新光庚特二,42.5,-0.05,-0.12,09/22,7,55,3.3,0.03,0,0,0.0,0.0,0,0,0.0,0.0,7,55,3.3,0.03
3402,漢科,126.5,-0.5,-0.39,09/22,7,341,28.9,0.47,0,0,0.0,0.0,1,4,2.54,0.01,7,352,29.9,0.48
3518,柏騰,32.25,0.6,1.9,09/22,7,1013,20.2,0.99,0,0,0.0,0.0,0,0,0.0,0.0,7,1016,20.3,0.99
4167,松瑞藥,19.75,0.1,0.51,09/22,7,1080,19.3,0.33,0,0,0.0,0.0,1,0,0.01,0.0,7,1079,19.3,0.33
4746,台耀,48.2,0.4,0.84,09/22,7,1588,36.4,1.32,-1,-91,-9.82,-0.08,0,0,0.0,0.0,7,1500,34.4,1.25
4923,力士,61.4,-1.0,-1.6,09/22,7,895,10.9,2.39,0,0,0.0,0.0,1,1,0.05,0.0,7,865,10.6,2.31
6155,鈞寶,56.0,-1.0,-1.75,09/22,7,778,17.7,0.88,0,0,0.0,0.0,1,2,0.24,0.0,7,776,17.7,0.88
6259,百徽,29.45,-0.15,-0.51,09/22,7,224,18.8,0.8,0,0,0.0,0.0,-1,0,-0.2,0.0,7,226,19.0,0.81
6271,同欣電,228.0,-2.0,-0.87,09/22,7,2223,9.13,1.06,0,0,0.0,0.0,1,15,0.54,0.01,7,2434,9.99,1.16
6901,鑽石投資,15.35,-0.15,-0.97,09/22,7,1237,22.8,0.15,0,0,0.0,0.0,0,0,0.0,0.0,2,423,29.8,0.05
7770,君曜,39.9,-0.2,-0.5,09/22,7,23,21.6,0.08,0,0,0.0,0.0,-7,-23,-21.6,-0.08,2,5,19.1,0.02
7805,威聯通,505.0,6.5,1.3,09/22,7,39,14.1,0.1,0,0,0.0,0.0,-6,-5,-2.11,-0.01,7,34,12.2,0.08
8109,博大,131.0,-2.5,-1.87,09/22,7,464,40.0,0.56,0,0,0.0,0.0,-1,-2,-1.6,0.0,8,487,37.1,0.59
8182,加高,39.7,0.15,0.38,09/22,7,864,29.8,0.81,0,0,0.0,0.0,7,11,0.39,0.01,7,875,30.2,0.82
8249,菱光,39.25,-0.1,-0.25,09/22,7,248,26.4,0.18,0,0,0.0,0.0,0,0,0.0,0.0,7,252,26.9,0.18
00402A,主動安聯美國科技,10.0,0.25,2.56,09/22,6,23228,42.5,3.37,0,0,0.0,0.0,14,29608,36.8,4.29,14,55467,69.0,8.04
00720B,元大投資級公司債,31.87,-0.07,-0.22,09/22,6,5483,30.3,0.14,0,0,0.0,0.0,1,774,34.0,0.02,15,24858,45.1,0.62
00751B,元大AAA至A公司債,29.92,-0.07,-0.23,09/22,6,4146,17.8,0.08,0,0,0.0,0.0,1,434,10.8,0.01,1,484,12.1,0.01
00772B,中信高評級公司債,32.17,-0.03,-0.09,09/22,6,3472,36.8,0.1,0,0,0.0,0.0,1,158,21.9,0.0,7,2952,26.5,0.09
00773B,中信優先金融債,34.38,-0.03,-0.09,09/22,6,1399,16.4,0.05,0,0,0.0,0.0,1,17,20.9,0.0,5,664,9.77,0.03
00936,台新永續高息中小,21.49,-0.02,-0.09,09/22,6,800,22.9,0.41,0,0,0.0,0.0,5,1067,36.2,0.55,5,1838,62.4,0.95
009813,貝萊德標普卓越50,11.58,0.17,1.49,09/22,6,1936,18.4,0.6,0,0,0.0,0.0,5,3937,51.5,1.22,11,7019,39.5,2.18
1569,濱川,64.2,3.2,5.25,09/22,6,3517,11.2,2.44,0,0,0.0,0.0,3,63,0.22,0.04,6,3580,11.4,2.48
2069,運錩,25.6,1.4,5.79,09/22,6,1568,15.7,0.94,0,0,0.0,0.0,0,0,0.0,0.0,6,1578,15.8,0.95
2471,資通,52.2,-1.0,-1.88,09/22,6,679,14.6,1.44,0,0,0.0,0.0,0,0,0.0,0.0,6,704,15.1,1.49
2743,山富,54.3,-0.2,-0.37,09/22,6,83,29.7,0.18,0,0,0.0,0.0,-1,-3,-13.9,-0.01,-1,-2,-9.24,0.0
3083,網龍,23.0,0.3,1.32,09/22,6,133,35.8,0.15,0,0,0.0,0.0,0,0,0.0,0.0,6,133,35.9,0.15
4536,拓凱,165.0,-1.0,-0.6,09/22,6,307,30.6,0.34,0,0,0.0,0.0,0,0,0.0,0.0,6,308,30.7,0.34
5206,坤悅,22.95,0.15,0.66,09/22,6,513,16.8,0.26,0,0,0.0,0.0,0,0,0.0,0.0,6,513,16.8,0.26
5209,新鼎,169.5,-1.0,-0.59,09/22,6,258,30.3,0.9,6,13,1.54,0.05,-9,-149,-6.7,-0.52,6,216,25.4,0.75
5288,豐祥-KY,189.0,-1.0,-0.53,09/22,6,129,21.6,0.18,0,0,0.0,0.0,8,14,1.6,0.02,6,139,23.2,0.2
5608,四維航,17.15,0.0,0.0,09/22,6,3828,23.0,0.98,0,0,0.0,0.0,-1,0,0.0,0.0,6,3829,23.0,0.98
6248,沛波,16.8,-0.05,-0.3,09/22,6,32,9.03,0.03,0,0,0.0,0.0,-4,0,-0.2,0.0,6,32,9.04,0.03
6416,瑞祺電通,115.5,-5.5,-4.55,09/22,6,1101,15.4,1.5,0,0,0.0,0.0,-1,-18,-1.91,-0.02,6,1136,15.8,1.55
6558,興能高,24.45,0.35,1.45,09/22,6,276,26.9,0.29,0,0,0.0,0.0,0,0,0.0,0.0,6,279,27.1,0.3
6763,綠界科技*,41.6,0.25,0.6,09/22,6,387,45.6,0.21,0,0,0.0,0.0,1,1,0.26,0.0,7,406,40.5,0.22
6869,雲豹能源,69.5,0.2,0.29,09/22,6,910,28.2,0.66,0,0,0.0,0.0,6,72,2.24,0.05,6,983,30.4,0.71
7730,暉盛-創,172.0,1.5,0.88,09/22,6,93,15.9,0.25,0,0,0.0,0.0,-1,-2,-4.32,-0.01,6,97,16.6,0.26
8171,天宇,20.6,0.3,1.48,09/22,6,197,25.5,0.17,0,0,0.0,0.0,4,0,0.02,0.0,6,197,25.5,0.17
00400A,主動國泰動能高息,15.49,0.27,1.77,09/22,5,49949,27.9,2.61,0,0,0.0,0.0,3,18744,15.0,0.98,3,67295,53.7,3.52
00401A,主動摩根台灣鑫收,14.33,0.01,0.07,09/22,5,2561,9.17,0.98,0,0,0.0,0.0,2,3634,29.7,1.39,5,6057,21.7,2.31
00403A,主動統一升級50,10.7,0.21,2.0,09/22,5,517510,33.9,3.5,0,0,0.0,0.0,5,498543,32.7,3.37,5,1016053,66.6,6.87
00631L,元大台灣50正2,38.52,0.07,0.18,09/22,5,57689,6.29,0.83,0,0,0.0,0.0,4,305050,37.3,4.36,4,359433,43.9,5.14
00728,第一金工業30,70.8,0.5,0.71,09/22,5,213,23.7,0.54,0,0,0.0,0.0,2,52,19.3,0.13,3,164,24.2,0.41
00733,富邦臺灣中小,69.45,0.75,1.09,09/22,5,431,23.5,0.68,0,0,0.0,0.0,3,226,18.5,0.36,13,1667,34.8,2.65
00862B,中信投資級公司債,30.25,-0.04,-0.13,09/22,5,363,15.0,0.04,0,0,0.0,0.0,-2,-277,-22.5,-0.03,1,47,9.36,0.01
00888,永豐台灣ESG,36.16,0.4,1.12,09/22,5,6572,15.1,1.04,0,0,0.0,0.0,7,16134,31.6,2.55,5,21702,49.8,3.43
00896,中信綠能及電動車,27.5,0.05,0.18,09/22,5,4104,13.4,0.8,0,0,0.0,0.0,4,5521,26.1,1.08,5,9615,31.4,1.88
00900,富邦特選高股息30,19.78,-0.05,-0.25,09/22,5,6701,24.0,0.44,0,0,0.0,0.0,21,60566,49.0,4.01,61,197090,60.5,13.0
00915,凱基優選高股息30,33.17,-0.04,-0.12,09/22,5,1137,9.18,0.23,0,0,0.0,0.0,14,9398,26.7,1.86,23,15390,30.7,3.05
00940,元大台灣價值高息,13.13,0.03,0.23,09/22,5,7121,8.09,0.14,0,0,0.0,0.0,77,591237,45.3,11.6,10,89817,67.2,1.76
00944,野村趨勢動能高息,22.12,0.12,0.55,09/22,5,95,8.89,0.18,0,0,0.0,0.0,-1,-13,-17.0,-0.02,-1,-5,-6.69,-0.01
00955,中信日本商社,16.29,0.05,0.31,09/22,5,2445,14.4,0.51,0,0,0.0,0.0,2,722,15.8,0.15,2,2297,50.2,0.48
00969B,元大零息超長美債,8.0,0.0,0.0,09/22,5,204,4.92,0.14,0,0,0.0,0.0,7,2661,41.3,1.8,7,2916,45.3,1.98
009802,富邦旗艦50,20.17,-0.01,-0.05,09/22,5,2019,7.13,0.36,0,0,0.0,0.0,4,9942,37.8,1.76,4,11609,44.1,2.05
009819,中信數據及電力,9.78,0.08,0.82,09/22,5,2487,14.5,0.41,0,0,0.0,0.0,4,3185,24.1,0.52,4,5670,43.0,0.93
00986A,主動台新龍頭成長,14.74,0.19,1.31,09/22,5,214,20.2,0.54,0,0,0.0,0.0,5,366,34.6,0.92,5,580,54.8,1.46
00993A,主動安聯台灣,13.78,0.2,1.47,09/22,5,8783,33.1,1.17,0,0,0.0,0.0,5,5351,20.2,0.72,5,14134,53.3,1.89
00999A,主動野村臺灣高息,11.26,0.01,0.09,09/22,5,6582,14.7,0.64,0,0,0.0,0.0,4,8955,26.5,0.86,4,15143,44.9,1.46
1220,台榮,10.8,0.0,0.0,09/22,5,71,19.4,0.04,0,0,0.0,0.0,0,0,0.0,0.0,5,76,20.9,0.04
1336,台翰,16.9,-0.05,-0.29,09/22,5,278,21.3,0.36,0,0,0.0,0.0,0,0,0.0,0.0,5,264,20.2,0.34
1445,大宇,10.05,-0.2,-1.95,09/22,5,88,16.6,0.07,0,0,0.0,0.0,0,0,0.0,0.0,5,96,18.1,0.07
1459,聯發,15.8,0.05,0.32,09/22,5,63,11.2,0.02,0,0,0.0,0.0,0,0,0.0,0.0,4,62,16.1,0.02
1524,耿鼎,26.1,-0.3,-1.14,09/22,5,226,19.8,0.14,0,0,0.0,0.0,0,0,0.0,0.0,5,231,20.2,0.14
1533,車王電,30.75,0.25,0.82,09/22,5,96,21.3,0.1,0,0,0.0,0.0,0,0,0.0,0.0,5,97,21.5,0.1
1587,吉茂,23.75,-0.2,-0.84,09/22,5,102,29.0,0.13,0,0,0.0,0.0,0,0,0.0,0.0,5,103,29.3,0.13
1612,宏泰,35.05,0.05,0.14,09/22,5,404,18.3,0.13,0,0,0.0,0.0,1,4,1.45,0.0,5,399,18.0,0.13
1725,元禎,33.55,-0.8,-2.33,09/22,5,87,23.9,0.05,0,0,0.0,0.0,3,6,3.11,0.0,5,94,25.8,0.05
2007,燁興,6.95,0.04,0.58,09/22,5,103,12.3,0.02,0,0,0.0,0.0,0,0,0.0,0.0,5,117,13.9,0.02
2009,第一銅,40.1,0.6,1.52,09/22,5,1763,28.9,0.49,0,0,0.0,0.0,4,35,0.79,0.01,5,1794,29.4,0.5
2010,春源,22.05,0.25,1.15,09/22,5,875,24.0,0.14,0,0,0.0,0.0,-1,-1,-0.11,0.0,5,915,25.1,0.14
2025,千興,12.55,0.15,1.21,09/22,5,563,33.0,0.33,0,0,0.0,0.0,0,0,0.0,0.0,5,566,33.2,0.33
2038,海光,12.1,0.05,0.41,09/22,5,147,23.6,0.08,0,0,0.0,0.0,0,0,0.0,0.0,5,155,24.8,0.08
2236,百達-KY,112.5,3.5,3.21,09/22,5,277,7.62,0.45,0,0,0.0,0.0,-1,-11,-2.78,-0.02,4,278,18.3,0.45
2305,全友,60.0,1.2,2.04,09/22,5,10840,17.3,5.27,0,0,0.0,0.0,1,1,0.01,0.0,5,10892,17.4,5.3
2340,台亞,34.1,-0.4,-1.16,09/22,5,3341,20.4,0.76,0,0,0.0,0.0,3,221,2.41,0.05,5,3686,22.6,0.84
2364,倫飛,67.5,0.0,0.0,09/22,5,362,27.5,0.63,0,0,0.0,0.0,-1,-2,-0.56,0.0,5,360,27.3,0.63
2379,瑞昱,755.0,15.0,2.03,09/22,5,7073,47.5,1.37,-5,-190,-1.28,-0.04,4,252,2.04,0.05,10,10425,38.1,2.02
2383,台光電,4860.0,-35.0,-0.72,09/22,5,1360,8.62,0.38,-7,-3178,-17.2,-0.89,4,493,3.5,0.14,-7,-1407,-7.59,-0.39
2390,云辰,10.15,-0.1,-0.98,09/22,5,553,28.7,0.29,0,0,0.0,0.0,0,0,0.0,0.0,5,562,29.2,0.29
2405,輔信,15.05,-0.15,-0.99,09/22,5,810,17.3,0.24,0,0,0.0,0.0,0,0,0.0,0.0,5,817,17.5,0.24
2439,美律,78.1,-0.5,-0.64,09/22,5,2129,42.5,0.86,0,0,0.0,0.0,-2,-8,-0.54,0.0,5,2127,42.4,0.86
2449,京元電子,317.0,15.5,5.14,09/22,5,42714,20.0,3.33,2,7538,5.86,0.59,5,5856,2.74,0.46,5,55829,26.2,4.35
2454,聯發科,5180.0,170.0,3.39,09/22,5,8882,19.0,0.55,2,686,2.94,0.04,7,1040,1.76,0.06,5,9996,21.3,0.62
2462,良得電,19.9,0.1,0.51,09/22,5,186,25.0,0.12,0,0,0.0,0.0,0,0,0.0,0.0,5,187,25.2,0.12
2477,美隆電,23.2,0.1,0.43,09/22,5,348,26.4,0.22,6,94,6.76,0.06,0,0,0.0,0.0,5,452,34.3,0.28
2482,連宇,16.4,0.45,2.82,09/22,5,209,41.5,0.27,0,0,0.0,0.0,4,8,1.82,0.01,5,212,42.2,0.27
2516,新建,14.85,0.0,0.0,09/22,5,92,9.65,0.04,0,0,0.0,0.0,0,0,0.0,0.0,5,99,10.4,0.04
2527,宏璟,48.15,1.25,2.67,09/22,5,1158,28.9,0.43,0,0,0.0,0.0,1,10,0.89,0.0,5,1187,29.6,0.44
2637,慧洋-KY,100.5,-2.0,-1.95,09/22,5,4340,26.2,0.58,0,0,0.0,0.0,-1,0,0.0,0.0,3,765,13.3,0.1
2885,元大金,70.6,0.2,0.28,09/22,5,24413,19.3,0.18,-1,-567,-2.43,0.0,8,1586,0.86,0.01,3,10641,12.1,0.08
2892,第一金,39.9,0.15,0.38,09/22,5,26611,18.2,0.19,2,481,1.33,0.0,10,2925,0.95,0.02,5,40190,27.5,0.28
2929,淘帝-KY,5.79,0.0,0.0,09/22,5,205,30.7,0.19,0,0,0.0,0.0,-1,-1,-2.15,0.0,5,209,31.3,0.19
3034,聯詠,557.0,9.0,1.64,09/22,5,4165,24.8,0.68,-2,-183,-2.7,-0.03,5,435,2.59,0.07,1,1527,39.5,0.25
3035,智原,203.0,12.0,6.28,09/22,5,6350,18.9,2.44,0,0,0.0,0.0,1,734,4.83,0.28,5,8055,24.0,3.09
3041,揚智,23.7,-0.05,-0.21,09/22,5,932,24.6,0.66,0,0,0.0,0.0,0,0,0.0,0.0,5,935,24.7,0.66
3051,力特,23.05,0.05,0.22,09/22,5,1032,32.5,0.62,0,0,0.0,0.0,0,0,0.0,0.0,5,1032,32.5,0.62
3057,喬鼎,16.5,-0.05,-0.3,09/22,5,128,29.3,0.19,0,0,0.0,0.0,-1,-1,-1.82,0.0,5,127,29.0,0.19
3093,港建*,45.3,-0.1,-0.22,09/22,5,148,19.4,0.1,0,0,0.0,0.0,2,1,0.27,0.0,5,149,19.4,0.1
3094,聯傑,52.6,-4.2,-7.39,09/22,5,5168,8.85,6.22,0,0,0.0,0.0,-1,-140,-0.81,-0.17,5,5202,8.9,6.26
3171,炎洲流通,59.4,1.0,1.71,09/22,5,15,24.5,0.05,0,0,0.0,0.0,0,0,0.0,0.0,7,27,25.2,0.08
3287,廣寰科,42.6,0.5,1.19,09/22,5,511,7.08,1.16,0,0,0.0,0.0,4,52,0.73,0.12,5,563,7.79,1.28
3321,同泰,18.7,1.0,5.65,09/22,5,109,10.1,0.13,0,0,0.0,0.0,1,2,0.42,0.0,5,111,10.3,0.13
3515,華擎,213.5,0.5,0.23,09/22,5,605,23.4,0.49,0,0,0.0,0.0,0,0,0.0,0.0,5,642,24.9,0.52
3527,聚積,51.1,-0.4,-0.78,09/22,5,99,19.2,0.22,0,0,0.0,0.0,-3,-1,-0.16,0.0,5,99,19.2,0.22
3528,安馳,83.8,0.0,0.0,09/22,5,126,15.4,0.19,0,0,0.0,0.0,1,1,0.83,0.0,5,128,15.6,0.19
3530,晶相光,58.3,-0.9,-1.52,09/22,5,114,16.3,0.15,0,0,0.0,0.0,5,6,0.86,0.01,5,120,17.1,0.16
3545,敦泰,52.0,0.3,0.58,09/22,5,1346,41.6,0.61,0,0,0.0,0.0,4,16,0.58,0.01,5,1360,42.0,0.61
3557,嘉威,23.1,0.1,0.43,09/22,5,23,10.5,0.03,0,0,0.0,0.0,0,0,0.0,0.0,5,25,11.4,0.03
3564,其陽,49.0,-1.4,-2.78,09/22,5,339,31.6,0.57,0,0,0.0,0.0,-8,-229,-14.2,-0.39,-1,-20,-15.2,-0.03
3581,博磊,101.0,-2.5,-2.42,09/22,5,103,8.7,0.2,0,0,0.0,0.0,-3,-8,-0.89,-0.02,5,101,8.52,0.2
3711,日月光投控,693.0,30.0,4.52,09/22,5,25887,28.5,0.58,2,1705,4.05,0.04,5,3445,3.8,0.08,5,29814,32.9,0.67
3717,聯嘉投控,25.25,0.35,1.41,09/22,5,7690,15.1,3.7,0,0,0.0,0.0,-5,-944,-1.85,-0.45,5,6746,13.2,3.25
4414,如興,8.25,0.0,0.0,09/22,5,85,14.7,0.03,0,0,0.0,0.0,0,0,0.0,0.0,5,79,13.6,0.03
4417,金洲,50.0,0.0,0.0,09/22,5,72,20.8,0.09,0,0,0.0,0.0,0,0,0.0,0.0,5,72,20.8,0.09
4526,東台,31.95,-0.65,-1.99,09/22,5,1932,22.7,0.76,0,0,0.0,0.0,-1,-1,-0.08,0.0,5,1925,22.6,0.76
4563,百德,50.1,3.1,6.6,09/22,5,223,13.0,0.41,0,0,0.0,0.0,1,1,0.08,0.0,10,319,14.6,0.58
4590,富田-創,90.7,-1.0,-1.09,09/22,5,456,39.6,0.83,0,0,0.0,0.0,0,0,0.0,0.0,5,457,39.7,0.83
4716,大立,16.9,0.0,0.0,09/22,5,334,17.5,0.35,0,0,0.0,0.0,0,0,0.0,0.0,5,334,17.5,0.35
4722,國精化,189.5,-1.5,-0.79,09/22,5,448,8.86,0.44,0,0,0.0,0.0,-1,-8,-1.55,-0.01,5,452,8.94,0.44
4735,豪展,35.85,-0.3,-0.83,09/22,5,17,11.2,0.04,0,0,0.0,0.0,0,0,0.0,0.0,5,17,11.2,0.04
4737,華廣,59.6,-0.9,-1.49,09/22,5,43,6.75,0.06,0,0,0.0,0.0,0,0,0.0,0.0,4,29,9.95,0.04
4770,上品,250.0,-7.5,-2.91,09/22,5,728,11.1,0.91,0,0,0.0,0.0,-1,-45,-4.75,-0.06,-1,-4,-0.46,-0.01
4906,正文,38.7,0.2,0.52,09/22,5,5366,14.0,1.19,0,0,0.0,0.0,5,360,0.94,0.08,5,5726,14.9,1.27
4916,事欣科,103.5,-1.5,-1.43,09/22,5,1231,4.49,1.11,0,0,0.0,0.0,5,237,0.87,0.21,5,1469,5.36,1.33
4952,凌通,49.05,0.45,0.93,09/22,5,368,33.2,0.34,0,0,0.0,0.0,-2,-6,-0.98,-0.01,5,367,33.0,0.34
4968,立積,92.9,0.4,0.43,09/22,5,458,29.7,0.5,0,0,0.0,0.0,-1,-1,-0.14,0.0,5,493,32.0,0.53
5269,祥碩,1475.0,0.0,0.0,09/22,5,1154,28.4,1.56,0,0,0.0,0.0,-2,-20,-2.34,-0.03,-1,-6,-1.32,-0.01
5299,杰力,96.4,0.2,0.21,09/22,5,350,44.9,0.69,0,0,0.0,0.0,2,1,0.4,0.0,5,351,45.0,0.69
5347,世界,173.0,1.0,0.58,09/22,5,22618,18.9,1.2,1,3086,9.51,0.16,-2,-298,-0.61,-0.02,1,4958,15.3,0.26
5452,佶優,27.8,-0.1,-0.36,09/22,5,391,18.6,0.26,0,0,0.0,0.0,3,2,0.13,0.0,5,392,18.7,0.26
5493,三聯,92.4,0.9,0.98,09/22,5,264,27.7,0.6,0,0,0.0,0.0,3,23,2.51,0.05,7,293,28.8,0.67
5498,凱崴,51.2,-1.2,-2.29,09/22,5,649,11.1,0.34,0,0,0.0,0.0,2,1,0.03,0.0,5,655,11.2,0.34
5880,合庫金,27.05,-0.15,-0.55,09/22,5,12186,13.5,0.08,2,922,4.81,0.01,8,3839,2.33,0.02,5,16709,18.5,0.1
6133,金橋,27.2,-0.8,-2.86,09/22,5,5870,12.9,5.02,0,0,0.0,0.0,0,0,0.0,0.0,5,5878,12.9,5.02
6142,友勁,9.05,-0.01,-0.11,09/22,5,542,27.9,0.16,0,0,0.0,0.0,0,0,0.0,0.0,5,546,28.1,0.17
6154,順發,14.05,-0.1,-0.71,09/22,5,8,4.85,0.01,0,0,0.0,0.0,0,0,0.0,0.0,5,8,4.85,0.01
6158,禾昌,17.3,0.1,0.58,09/22,5,22,8.89,0.04,0,0,0.0,0.0,-1,0,-1.44,0.0,5,22,8.83,0.04
6186,新潤,29.75,0.0,0.0,09/22,5,1023,19.0,0.45,0,0,0.0,0.0,-1,-6,-0.95,0.0,5,959,17.8,0.42
6189,豐藝,48.0,-0.25,-0.52,09/22,5,657,44.0,0.25,0,0,0.0,0.0,7,23,1.16,0.01,5,667,44.7,0.25
6231,系微,224.5,1.0,0.45,09/22,5,249,16.5,0.55,0,0,0.0,0.0,-2,-13,-2.21,-0.03,5,238,15.7,0.52
6239,力成,292.0,-0.5,-0.17,09/22,5,11074,12.6,1.46,-15,-8147,-4.26,-1.07,-1,-147,-0.75,-0.02,-1,-613,-3.14,-0.08
6257,矽格,249.0,-1.5,-0.6,09/22,5,31372,29.3,6.48,-1,-98,-0.48,-0.02,-1,-259,-1.28,-0.05,5,33201,31.0,6.86
6275,元山,45.45,-0.55,-1.2,09/22,5,259,40.2,0.32,0,0,0.0,0.0,-1,0,-0.07,0.0,5,260,40.3,0.32
6284,佳邦,75.6,-0.2,-0.26,09/22,5,234,11.5,0.16,0,0,0.0,0.0,2,5,0.58,0.0,5,230,11.2,0.15
6438,迅得,152.5,2.0,1.33,09/22,5,191,14.4,0.23,0,0,0.0,0.0,5,154,11.6,0.19,5,345,26.0,0.42
6517,保勝光學,64.2,-2.0,-3.02,09/22,5,172,10.7,0.56,0,0,0.0,0.0,1,1,0.17,0.0,5,166,10.4,0.54
6579,研揚,153.0,0.0,0.0,09/22,5,292,25.7,0.17,0,0,0.0,0.0,4,10,1.05,0.01,5,253,22.2,0.15
6591,動力-KY,45.45,0.25,0.55,09/22,5,197,27.7,0.48,0,0,0.0,0.0,0,0,0.0,0.0,5,199,27.9,0.48
