排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00673R,期元大S&P原油反1,11.4,0.03,0.26,33798,09/03,-89,4290,4044,4866,4798,4831,4577.0,4936.0,5180.0,5095.0
2,2344,華邦電,169.0,-10.0,-5.59,161434,09/03,3879,4310,3973,3960,3629,2918,3700.0,-3794.0,5436.0,-20850.0
3,6182,合晶,104.5,-6.0,-5.43,48531,09/03,1885,2993,3554,3482,3236,3584,2546.0,3596.0,4122.0,3375.0
4,2408,南亞科,477.5,-40.5,-7.82,123833,09/03,1142,3008,2651,2670,2613,906,3897.0,-1585.0,-1462.0,-10974.0
5,2492,華新科,271.5,-21.5,-7.34,22304,09/03,742,1752,1754,1771,2037,2452,2279.0,2464.0,2493.0,2292.0
6,2409,友達,26.55,0.15,0.57,440836,09/03,-1380,-1159,-152,1720,10835,12912,6433.0,4134.0,18723.0,18380.0
7,3481,群創,48.1,-0.95,-1.94,365400,09/03,1138,-338,488,1606,-762,739,1653.0,-7485.0,3359.0,-2669.0
8,6669,緯穎,2475.0,-135.0,-5.17,5154,09/03,610,1317,1317,1317,1302,1292,1286.0,1261.0,1258.0,1241.0
9,2303,聯電,125.0,-1.0,-0.79,139492,09/03,-44,-931,-537,1283,1163,2653,644.0,1026.0,3182.0,2982.0
10,00406A,主動中信台灣收益,9.46,-0.18,-1.87,202872,09/03,276,1183,1183,1183,999,1157,,,,
11,5314,世紀*,31.0,-3.2,-9.36,4412,09/03,12,290,371,1174,3689,6052,5972.0,6076.0,4017.0,5979.0
12,9958,世紀鋼,88.4,-1.9,-2.1,1656,09/03,122,174,509,948,2834,2825,2767.0,2815.0,2733.0,2742.0
13,8105,凌巨,15.0,-0.95,-5.96,6185,09/03,-41,-34,-32,864,864,371,599.0,699.0,778.0,701.0
14,3605,宏致,114.5,-12.5,-9.84,13684,09/03,195,-29,315,617,511,1674,1672.0,1719.0,1728.0,1702.0
15,8046,南電,1080.0,-120.0,-10.0,23330,09/03,719,735,710,592,677,987,882.0,993.0,-1110.0,-109.0
16,2337,旺宏,117.0,-6.0,-4.88,47050,09/03,854,857,709,576,398,-2206,881.0,-6700.0,200.0,-4244.0
17,00981A,主動統一台股增長,29.13,-0.6,-2.02,153989,09/03,-229,-715,-1797,569,-465,-6697,-563.0,3395.0,3365.0,1439.0
18,1312,國喬,14.9,-0.35,-2.3,57277,09/03,33,-58,-940,497,502,342,282.0,318.0,437.0,355.0
19,2455,全新,525.0,-17.0,-3.14,21442,09/03,32,273,421,492,453,505,754.0,543.0,482.0,710.0
20,6770,力積電,67.8,-2.6,-3.69,115197,09/03,-27,250,-102,462,-1228,-5481,-4950.0,-2912.0,-1288.0,-16867.0
21,4303,信立,35.5,-0.8,-2.2,1143,09/03,55,32,22,460,621,617,616.0,604.0,469.0,591.0
22,3374,精材,400.0,-19.5,-4.65,4739,09/03,-95,-128,-73,380,355,503,472.0,604.0,-30.0,614.0
23,3078,僑威,46.0,-1.8,-3.77,1417,09/03,246,287,369,369,354,356,362.0,346.0,347.0,353.0
24,2486,一詮,259.5,-28.5,-9.9,34953,09/03,354,398,402,360,414,478,301.0,160.0,544.0,36.0
25,00680L,元大美債20正2,6.4,0.08,1.27,15797,09/03,0,4,374,326,349,336,70.0,104.0,-147.0,222.0
26,00715L,期街口布蘭特正2,56.05,-0.95,-1.67,4035,09/03,140,286,365,320,157,1396,539.0,-38.0,-5280.0,1848.0
27,00642U,期元大S&P石油,29.95,-0.13,-0.43,2151,09/03,9,112,204,291,282,365,-1797.0,-1731.0,958.0,1017.0
28,2464,盟立,222.0,20.0,9.9,17067,09/03,352,548,548,281,-375,-303,-841.0,428.0,-251.0,402.0
29,4991,環宇-KY,484.5,-45.5,-8.58,13450,09/03,274,358,381,278,497,527,519.0,417.0,-3518.0,12.0
30,6451,訊芯-KY,450.0,-50.0,-10.0,13900,09/03,157,390,379,266,172,-166,129.0,506.0,408.0,524.0
31,2327,國巨*,511.0,-29.0,-5.37,34250,09/03,238,229,224,254,48,-51,-125.0,325.0,-132.0,374.0
32,3406,玉晶光,991.0,-59.0,-5.62,2417,09/03,9,61,62,249,330,398,445.0,440.0,328.0,393.0
33,2887,台新新光金,41.45,0.25,0.61,78354,09/03,81,141,250,248,306,147,-5259.0,92.0,-359.0,-8842.0
34,1301,台塑,65.7,-1.1,-1.65,52368,09/03,8,-153,38,239,725,875,446.0,-444.0,-24.0,356.0
35,8111,立碁,72.0,-4.4,-5.76,37962,09/03,-134,-205,30,235,418,-229,607.0,408.0,485.0,-168.0
36,5425,台半,91.2,-1.3,-1.41,21474,09/03,280,237,298,234,227,398,14.0,510.0,466.0,475.0
37,8021,尖點,413.5,-45.5,-9.91,14442,09/03,265,236,255,230,201,198,104.0,119.0,-2350.0,-2579.0
38,3135,凌航,172.5,-3.5,-1.99,1318,09/03,12,59,227,227,46,84,35.0,,,
39,4977,眾達-KY,172.5,-4.0,-2.27,6148,09/03,13,47,217,217,89,172,-66.0,-42.0,5.0,-95.0
40,8271,宇瞻,217.0,-8.5,-3.77,3191,09/03,228,210,213,210,139,84,634.0,487.0,723.0,305.0
41,6179,亞通,29.2,-0.55,-1.85,2437,09/03,0,-34,-55,205,240,322,340.0,-351.0,253.0,156.0
42,6488,環球晶,927.0,-40.0,-4.14,7780,09/03,170,194,199,199,152,105,202.0,192.0,173.0,278.0
43,2481,強茂,156.0,8.0,5.41,66498,09/03,223,180,216,195,267,430,63.0,617.0,450.0,575.0
44,3219,倚強科,90.5,0.1,0.11,908,09/03,-9,8,10,193,444,449,448.0,423.0,121.0,374.0
45,5291,邑昇,68.7,-2.0,-2.83,1436,09/03,-18,-10,64,192,220,309,308.0,162.0,314.0,313.0
46,00706L,期元大S&P日圓正2,19.29,0.52,2.77,2829,09/03,180,185,185,187,161,112,434.0,447.0,475.0,475.0
47,3324,雙鴻,1350.0,-85.0,-5.92,2235,09/03,-71,124,167,186,165,28,108.0,-297.0,39.0,-354.0
48,1802,台玻,58.6,-2.2,-3.62,52313,09/03,281,329,359,185,479,1078,-384.0,-8031.0,-8569.0,-6102.0
49,3532,台勝科,381.0,-5.0,-1.3,6008,09/03,113,97,7,180,-90,331,564.0,571.0,482.0,633.0
50,2618,長榮航,42.8,0.65,1.54,26435,09/03,144,136,223,170,321,411,765.0,829.0,525.0,781.0
51,2883,凱基金,35.9,0.4,1.13,60617,09/03,36,64,94,168,204,-205,-488.0,186.0,246.0,-198.0
52,6173,信昌電,241.0,-19.5,-7.49,12653,09/03,71,111,90,168,-1160,128,264.0,164.0,377.0,-511.0
53,6186,新潤,31.75,0.3,0.95,499,09/03,-2,12,153,165,576,576,576.0,560.0,546.0,576.0
54,1326,台化,69.7,-3.1,-4.26,82420,09/03,-153,-559,24,161,191,-69,330.0,-374.0,-722.0,-361.0
55,2637,慧洋-KY,99.8,3.5,3.63,7546,09/03,74,99,136,129,155,205,243.0,125.0,-371.0,-18.0
56,9105,泰金寶-DR,8.54,0.06,0.71,23859,09/03,6,-14,-49,122,-339,-566,-33996.0,-230.0,52.0,-5.0
57,6217,中探針,195.5,0.0,0.0,13188,09/03,12,132,149,116,161,270,258.0,-308.0,-42.0,142.0
58,8358,金居,470.0,-33.0,-6.56,7891,09/03,-18,-91,70,115,422,622,32.0,-2085.0,-9436.0,-3624.0
59,6190,萬泰科,67.3,-1.8,-2.6,2104,09/03,-413,-563,-491,112,304,271,-424.0,-40.0,-275.0,178.0
60,6199,天品,95.2,0.0,0.0,2045,09/03,-26,62,41,110,116,111,115.0,113.0,113.0,115.0
61,6209,今國光,81.1,-3.2,-3.8,19920,09/03,-62,34,58,108,248,338,151.0,77.0,99.0,-3403.0
62,3006,晶豪科,277.0,-4.5,-1.6,41963,09/03,81,120,9,105,111,179,285.0,-531.0,240.0,-1978.0
63,3673,TPK-KY,64.7,-2.3,-3.43,5625,09/03,-11,25,38,103,133,114,-97.0,191.0,66.0,183.0
64,4510,高鋒,47.05,1.25,2.73,9557,09/03,96,106,99,103,98,286,117.0,-169.0,-782.0,-3.0
65,3704,合勤控,40.0,-2.1,-4.99,3368,09/03,103,103,102,101,94,49,32.0,75.0,-111.0,-53.0
66,3141,晶宏,100.0,0.5,0.5,21370,09/03,-17,131,138,98,106,217,173.0,200.0,219.0,220.0
67,00632R,元大台灣50反1,10.0,0.09,0.91,107553,09/03,187,291,48,95,-480,-2260,1879.0,1253.0,3439.0,1879.0
68,2221,大甲,91.5,8.3,9.98,4854,09/03,82,80,82,93,150,150,152.0,152.0,152.0,152.0
69,1714,和桐,16.55,-0.8,-4.61,21319,09/03,-1,63,91,89,125,76,59.0,124.0,134.0,130.0
70,2332,友訊,18.65,-0.65,-3.37,16756,09/03,61,98,87,87,-39,-724,199.0,280.0,149.0,170.0
71,1316,上曜,10.75,-0.05,-0.46,1883,09/03,0,0,-18,81,141,119,143.0,152.0,47.0,-549.0
72,2880,華南金,43.45,0.45,1.05,16242,09/03,-35,5,39,78,103,90,-1675.0,66.0,-62.0,68.0
73,8027,鈦昇,177.0,-5.0,-2.75,5972,09/03,32,32,44,78,10,64,-164.0,-114.0,-225.0,-282.0
74,8431,匯鑽科,63.7,3.9,6.52,7695,09/03,36,63,63,78,73,72,70.0,-20.0,59.0,-315.0
75,1709,和益,33.45,-1.55,-4.43,11959,09/03,-14,-30,47,77,-60,69,77.0,77.0,77.0,77.0
76,00830,國泰費城半導體,79.4,-0.25,-0.31,5557,09/03,10,47,73,76,65,61,-20.0,-106.0,80.0,27.0
77,2845,遠東銀,13.65,0.65,5.0,42579,09/03,56,76,76,76,56,50,44.0,38.0,-827.0,42.0
78,6126,信音,29.15,-0.45,-1.52,603,09/03,102,102,102,75,70,35,-111.0,-5.0,62.0,54.0
79,8150,南茂,89.1,-1.1,-1.22,23458,09/03,4,-29,87,75,-56,30,-95.0,26.0,223.0,10.0
80,0050,元大台灣50,106.2,-0.6,-0.56,48818,09/03,4,-61,66,73,119,-337,-730.0,-81.0,-68.0,-1144.0
81,2882,國泰金,112.5,3.5,3.21,36064,09/03,46,35,25,73,96,-29,102.0,-111.0,-835.0,-631.0
82,2338,光罩,38.05,-1.1,-2.81,1026,09/03,30,37,72,70,67,-16,47.0,-3596.0,-2209.0,-151.0
83,6870,騰雲,288.0,-4.0,-1.37,94,09/03,12,51,70,69,52,58,27.0,83.0,,62.0
84,1529,樂事綠能,16.7,-0.1,-0.6,608,09/03,30,32,38,66,56,34,709.0,710.0,722.0,722.0
85,3715,定穎投控,118.0,-6.5,-5.22,5543,09/03,3,-49,11,65,-57,67,420.0,95.0,-3563.0,170.0
86,00878,國泰永續高股息,33.58,-0.07,-0.21,48731,09/03,2,2,21,64,-168,109,-6.0,61.0,31.0,-121.0
87,3090,日電貿,162.5,-6.0,-3.56,5161,09/03,17,-8,35,63,-105,49,-231.0,60.0,96.0,12.0
88,2331,精英,19.25,-0.6,-3.02,2096,09/03,44,44,57,62,79,116,48.0,-29.0,102.0,19.0
89,3094,聯傑,42.3,1.1,2.67,9327,09/03,6,-23,25,62,30,-12,133.0,134.0,131.0,133.0
90,3339,泰谷,42.1,-4.6,-9.85,3815,09/03,-13,-17,-21,62,85,93,47.0,55.0,-125.0,69.0
91,3624,光頡,84.8,-4.2,-4.72,3592,09/03,68,70,65,60,14,87,-602.0,102.0,134.0,-107.0
92,2603,長榮,239.0,4.5,1.92,9241,09/03,45,45,65,59,-14,154,-174.0,257.0,-134.0,42.0
93,8042,金山電,100.5,-10.5,-9.46,6275,09/03,16,53,43,56,-59,-148,90.0,-35.0,90.0,-311.0
94,6505,台塑化,76.5,-2.2,-2.8,27552,09/03,-15,-7,57,55,-6,-86,174.0,139.0,-130.0,75.0
95,2606,裕民,78.2,3.1,4.13,13295,09/03,125,102,79,54,246,294,283.0,-179.0,198.0,125.0
